id,session_id,total_events,started_at,finished_at,inserted_at
1000020357110,1000000170021,1,2019-01-05 00:51:40.535000000,2019-01-05 00:51:40.535000000,2019-01-05 00:51:45.183000000
1000020357113,1000000170087,1,2019-01-05 00:51:40.662000000,2019-01-05 00:51:40.662000000,2019-01-05 00:51:45.162000000
1000020357115,1000000157999,1,2019-01-05 00:51:40.949000000,2019-01-05 00:51:40.949000000,2019-01-05 00:51:45.163000000
1000020357117,1000000167836,1,2019-01-05 00:51:40.640000000,2019-01-05 00:51:40.640000000,2019-01-05 00:51:45.213000000
1000020357119,1000000165852,1,2019-01-05 00:51:41.550000000,2019-01-05 00:51:41.550000000,2019-01-05 00:51:45.810000000
1000020357120,1000000171060,1,2019-01-05 00:51:38.285000000,2019-01-05 00:51:38.285000000,2019-01-05 00:51:40.199000000
1000020357129,1000000172063,1,2019-01-05 00:51:41.818000000,2019-01-05 00:51:41.818000000,2019-01-05 00:51:45.570000000
1000020357130,1000000165860,3,2019-01-05 00:51:39.261000000,2019-01-05 00:51:45.352000000,2019-01-05 00:51:50.108000000
1000020357134,1000000167841,1,2019-01-05 00:51:42.312000000,2019-01-05 00:51:42.312000000,2019-01-05 00:51:45.126000000
1000020357137,1000000165831,1,2019-01-05 00:51:42.247000000,2019-01-05 00:51:42.247000000,2019-01-05 00:51:45.900000000
1000020357141,1000000164921,1,2019-01-05 00:51:43.256000000,2019-01-05 00:51:43.256000000,2019-01-05 00:51:45.217000000
1000020357146,1000000163951,1,2019-01-05 00:51:43.282000000,2019-01-05 00:51:43.282000000,2019-01-05 00:51:45.930000000
1000020357147,1000000165830,2,2019-01-05 00:51:43.508000000,2019-01-05 00:51:43.508000000,2019-01-05 00:51:45.114000000
1000020357150,1000000172033,1,2019-01-05 00:51:43.498000000,2019-01-05 00:51:43.498000000,2019-01-05 00:51:45.261000000
1000020357151,1000000163948,1,2019-01-05 00:51:43.701000000,2019-01-05 00:51:43.701000000,2019-01-05 00:51:45.217000000
1000020357154,1000000170085,1,2019-01-05 00:51:43.842000000,2019-01-05 00:51:43.842000000,2019-01-05 00:51:45.540000000
1000020357155,1000000165810,1,2019-01-05 00:51:43.773000000,2019-01-05 00:51:43.773000000,2019-01-05 00:51:45.222000000
1000020357156,1000000174011,1,2019-01-05 00:51:43.933000000,2019-01-05 00:51:43.933000000,2019-01-05 00:51:45.193000000
1000020357158,1000000163950,1,2019-01-05 00:51:43.923000000,2019-01-05 00:51:43.923000000,2019-01-05 00:51:45.940000000
1000020357163,1000000160990,1,2019-01-05 00:51:44.569000000,2019-01-05 00:51:44.569000000,2019-01-05 00:51:45.950000000
1000020357167,1000000164907,1,2019-01-05 00:51:44.862000000,2019-01-05 00:51:44.862000000,2019-01-05 00:51:45.254000000
1000020357173,1000000166947,1,2019-01-05 00:51:45.458000000,2019-01-05 00:51:45.458000000,2019-01-05 00:51:50.137000000
1000020357178,1000000164890,1,2019-01-05 00:51:46.106000000,2019-01-05 00:51:46.106000000,2019-01-05 00:51:50.227000000
1000020357182,1000000169096,1,2019-01-05 00:51:46.139000000,2019-01-05 00:51:46.139000000,2019-01-05 00:51:50.234000000
1000020357187,1000000165857,1,2019-01-05 00:51:46.170000000,2019-01-05 00:51:46.170000000,2019-01-05 00:51:50.234000000
1000020357188,1000000168788,1,2019-01-05 00:51:46.170000000,2019-01-05 00:51:46.170000000,2019-01-05 00:51:50.264000000
1000020357196,1000000161964,1,2019-01-05 00:51:46.786000000,2019-01-05 00:51:46.786000000,2019-01-05 00:51:50.197000000
1000020357207,1000000164916,1,2019-01-05 00:51:48.402000000,2019-01-05 00:51:48.402000000,2019-01-05 00:51:50.202000000
1000020357209,1000000161963,1,2019-01-05 00:51:48.418000000,2019-01-05 00:51:48.418000000,2019-01-05 00:51:50.550000000
1000020357210,1000000162985,1,2019-01-05 00:51:48.335000000,2019-01-05 00:51:48.335000000,2019-01-05 00:51:50.200000000
1000020357215,1000000171054,1,2019-01-05 00:51:48.748000000,2019-01-05 00:51:48.748000000,2019-01-05 00:51:50.259000000
1000020357217,1000000171037,1,2019-01-05 00:51:49.660000000,2019-01-05 00:51:49.660000000,2019-01-05 00:51:50.141000000
1000020357218,1000000167880,1,2019-01-05 00:51:49.150000000,2019-01-05 00:51:49.150000000,2019-01-05 00:51:50.268000000
1000020357223,1000000164926,1,2019-01-05 00:51:49.443000000,2019-01-05 00:51:49.443000000,2019-01-05 00:51:50.173000000
1000020357226,1000000160991,1,2019-01-05 00:51:49.556000000,2019-01-05 00:51:49.556000000,2019-01-05 00:51:50.560000000
1000020357231,1000000168787,1,2019-01-05 00:51:49.751000000,2019-01-05 00:51:49.751000000,2019-01-05 00:51:50.470000000
1000020357236,1000000162969,1,2019-01-05 00:51:50.432000000,2019-01-05 00:51:50.432000000,2019-01-05 00:51:55.153000000
